Deixar de lado,"O SENHOR MINISTRO CELSO DE MELLO - (Relator): Bastante clara, portanto, a posição do Tribunal no sentido de que se está garantindo a incolumidade, a integridade do exercício desses direitos, observados, evidentemente, os limites que a própria Constituição estabelece O SENHOR MINISTRO AYRES BRITTO - Eu termino dizendo que também deixo de lado o problema da frequência ou da participação em reunião de crianças e adolescentes, porque eu me remeto para o artigo 227 da Constituição, que é cuidadoso, e me parece que, no particular, fica a cargo de cada famíliaSenhor Presidente, eu acompanho o voto do Relator integralmente"
Deixar de lado," Àquela época, asseverou que não havia conveniência na suspensão dos provimentos impugnados em que lhe pese à plausibilidade dos fundamentos da inicial Já agora, no julgamento de fundo, o Supremo, até mesmo deixando de lado reiterados pronunciamentos últimos quanto à inconstitucionalidade, aponta que não é conveniente proclamar a pecha, a inconstitucionalidade dos Provimentos JudiciaisSurge quadro a gerar certa incongruência, tendo em conta o princípio da impessoalidade"
Deixar de lado," 249, § 2º, do CPC aplicado analogicamente ao CPP, nos termos do disposto no art 3º do CPP), estão prejudicando o próprio judiciário brasileiro ao deixar de lado princípios como celeridade processual, eficiência e utilidade da jurisdição, dignidade da pessoa humana, devido processo legal, contraditório, ampla defesa”Requer a reconsideração da decisão agravada ou o provimento do presente recurso"
Deixar de lado,"br/portal/autenticacao/ sob o número 8059107 Relatório Supremo Tribunal Federal Inteiro Teor do Acórdão - Página 4 de 10 ARE 853495 AGR / SP dispositivos legais e constitucionais que ensejaram a propositura do agravo, desprovendo o Agravo em Recurso Extraordinário, baseando-se em leis infraconstitucionais, deixando de lado o artigo 183 da Constituição Federal e a Súmula 237 do Supremo Tribunal Federal, bem como não adentrou no mérito do presente recurso para a aplicação da Constituição FederalTrata o artigo 183 da Constituição Federal:'Aquele que possuir como sua área urbana de até duzentos e cinquenta metros quadrados, por cinco anos, ininterruptamente e sem oposição, utilizando-a para sua moradia ou de sua família, adquirir-lhe-á o domínio, desde que não seja proprietário de outro imóvel urbano ou rural"
Deixar de lado,"A culpabilidade, a questão dos motivos, as circunstâncias e as consequências do crime são aquelas típicas à espécie, não desbordam da normalidade e da própria sanção penal, que é prevista, em tese, para uma conduta dessa naturezaO eminente Ministro Luiz Fux, amparado nos precedentes da Casa, fazendo menção aos antecedentes, deixou de lado ou desconsiderou eventuais anotações relativas a vita ante acta do réu, porquanto ainda não transitadas em julgado Portanto, os antecedentes, aqui, não pesam na avaliação"
Deixar de lado," Debate Supremo Tribunal Federal Inteiro Teor do Acórdão - Página 16 de 63 07/05/2013PRIMEIRA TURMAMANDADO DE SEGURANÇA 29599 DISTRITO FEDERALDEBATEA SENHORA MINISTRA ROSA WEBER - Senhor Presidente, fiquei vivamente impressionada com as razões expostas pelo eminente patrono da impetrante ao destacar duas questões de direito muito claras e  que deixariam de lado o segundo aspecto em que se centra o eminente RelatorAcompanho o voto do eminente Relator, sem dúvida, quanto a esse aspecto"
Deixar de lado," Parece piada, mas a censura era e é das próprias emissorasA despeito dessas considerações, não posso deixar de lado a compreensão do momento histórico É claro que a Associação autora preocupa-se com certas externalidades negativas de arranjos políticos internacionais, em que se estabeleceram formas indiretas de controle das mídias"
Deixar de lado," A definição da envergadura do diploma, se lei ordinária, propriamente dita, ou complementar, decorre do tema tratado nessa mesma lei, da matéria nela versada Mas deixo de lado essa óptica, no que isolada no PlenárioCaso pudesse caminhar para a opção política – não posso, evidentemente –, o faria no sentido de exigir, quanto à deliberação dos representantes do povo, dos deputados estaduais, escore mais significativo, para não se estar, a partir da mania de se acreditar que poderemos ter melhores dias no Brasil via novas leis, mudando a disciplina de certos temas"
Deixar de lado," DIAS TOFFOLI Supremo Tribunal Federal Inteiro Teor do Acórdão - Página 150 de 197 ADI 5105 / DF partidária decorrente da criação de partido novo, reconhecida e estimulada constitucionalmente, mas, sim, de casos pessoais e individuais de troca de partidoEm meu sentir, permitir que as normas impugnadas subsistam em nosso ordenamento jurídico seria deixar de lado a representatividade de partidos que já nascem, ao receber parlamentares oriundos de outros partidos, com força política nacional, frustando, assim, sua participação nos processos eleitorais de forma compatível e condizente com a representatividade política que ostentam e com a legitimidade popular recebida por seus membros das urnasPor fim, conforme já assinalado no início deste voto, o entendimento aqui adotado está em consonância a jurisprudência firmada por este Tribunal no julgamento da ADI nº 4"
Deixar de lado," Voto - MIN TEORI ZAVASCKI Supremo Tribunal Federal Inteiro Teor do Acórdão - Página 23 de 65 MS 34127 MC / DF O SENHOR MINISTRO GILMAR MENDES - Vossa Excelência me permite? Há um outro aspecto que acho que estamos deixando de lado, com a banalização, inclusive, das impetrações por parte de parlamentares A jurisprudência do Tribunal, em relação à impetração de mandado de segurança contra atos de mesa, é bastante restrita - e era bastante restrita - a eventos, por exemplo, ligados a incidentes graves na feitura de emenda constitucional"
Deixar de lado,"412 / AL trabalho não deixava dúvida de haver cerceio ao direito de locomoção, o que levou o Ministro Sepúlveda Pertence a consignar que o tipo do artigo 149 do Código Penal constitui “atentado à liberdade individual” do trabalhador No caso em exame, deixando de lado a precariedade das condições de trabalho verificadas, o que motivou, até mesmo, a interdição do estabelecimento investigado, há de se indagar se a matéria fática dos autos, em especial depoimentos, revela a sujeição dos prestadores de serviços a trabalhos forçados mediante a restrição do direito de locomoção Extrai-se dos “Termos de Depoimento Pessoal de Trabalhador”, tomados nos dias 5 e 6 de março de 2008:Iranaldo da Silva Batista – admitido em 1º/10/2007: “QUE veio por conta própria procurar emprego; QUE desde o início desta safra está alojado; ("
Deixar de lado,"92014, que:“Qualquer que seja a decisão a adotar, penso que não se pode deixar de lado o escopo e o contexto socioeconômico subjacentes, no caso, à edição do Decreto-Lei nº 2284, de 10 de março de 1986 (Plano Cruzado), assim como dos demais planos econômicos que adotaram o chamado congelamento de preços no Brasil, em décadas passadas, e que, segundo se alega, seriam causa do dano material em questão   "
Deixar de lado, Voto - MIN MARCO AURÉLIO Supremo Tribunal Federal Inteiro Teor do Acórdão - Página 7 de 8 ARE 963934 AGR / SP deixado de lado pelo evidente efeito jurídico “erga omnes” da decisão do Supremo Tribunal FederalComo admitir que a mesma questão não tenha a guarida do Poder Judiciário?O presente agravo deve ser provido para reformar a r
Deixar de lado," Além de não ser adequado o manejo de apelo extremo para rever dosimetria da pena, matéria de cunho eminentemente infraconstitucional, reitero que o magistrado sentenciante optou, como permite o art 331 do Código Penal, por aplicar somente a pena de multa, deixando de lado a privativa de liberdade Essa escolha, extremamente favorável ao condenado, já revela que a alegação de excesso sancionatório não guarda relação com a realidade dos autos"
Deixar de lado,"963 MATO GROSSO DO SULEXPLICAÇÃOA SENHORA MINISTRA ROSA WEBER - Senhor Presidente,  só quero fazer, então, uma correção Fiquei com a impressão de que o voto que eu trouxera, na mesma linha do agora proposto pelo Ministro Dias Toffoli, deixa de lado a teoria do conglobamento e observa a norma na parte em que favorece o réu, fiquei com a ideia de que tinha passado na Turma, por isso me referi à jurisprudência da TurmaO SENHOR MINISTRO MARCO AURÉLIO – Eu me refiro a precedentes anteriores quando a Turma tinha composição diversa: com o Ministro Ricardo Lewandowski, e  a Ministra Cármen Lúcia"
Deixar de lado,"Não estou defendendo a violação do direito do menor ou o reprovável abuso do trabalho infantil Penso que é hora de refletir, de agir, de deixar de lado a burocracia e o apego ao formalismo e fazer algo para alterar a realidade do meio rural brasileiro Não se resolve o analfabetismo, a miséria, a falta de oportunidades com regras proibitivas, como se o homem do campo e, por que não, o jovem do campo tivessem alternativa para se manter"
Deixar de lado,"Para concluir, no meu sentir, declarar a inconstitucionalidade da interpretação questionada pelos autores da ADI nº 4795 seria deixar de lado a representatividade de partidos que já nascem, ao receber parlamentares oriundos de outros partidos, com força política nacional, frustando, assim, sua participação nos processos eleitorais de forma compatível e condizente com a representatividade política que ostentam e com a legitimidade popular recebida por seus membros das urnasPor todas essas razões, reputo constitucional a interpretação que reconhece aos partidos criados após a realização de eleições para a Câmara dos Deputados o direito à devida proporcionalidade na divisão do tempo de propaganda eleitoral no rádio e na televisão prevista no inciso II do § 2º do art"
Deixar de lado," Além de não ser adequado o manejo de apelo extremo para rever dosimetria da pena, matéria de cunho eminentemente infraconstitucional, reitero que o magistrado sentenciante optou, como permite o art 331 do Código Penal, por aplicar somente a pena de multa, deixando de lado a privativa de liberdade Essa escolha, extremamente favorável ao condenado, já revela que a alegação de excesso sancionatório não guarda relação com a realidade dos autos"
Deixar de lado,"01815994-9) tanto pelos fatos inscritos na primeira imputação quanto pelos fatos novos descritos na segunda acusação;ii) o Juízo da 6ª Vara Federal Criminal do Rio de Janeiro, contudo, ao sentenciar a segunda ação penal, deixou de lado os 12 Supremo Tribunal FederalDocumento assinado digitalmente conforme MP n° 2200-2/2001 de 24/08/2001, que institui a Infraestrutura de Chaves Públicas Brasileira - ICP-Brasil"
